The hospital should give each patient individualised attention,The hospital's employees should express care in their interaction with patients,The hospital and its employees should have the patients' best interests at heart,The hospital's employees should understand the specific needs of each of their patients,The operating hours of the hospital should be convenient for all its patients
2,3,4,2,2
4,4,4,4,4
4,4,4,4,4
4,4,4,4,4
3,3,4,3,2
4,4,4,4,4
3,4,4,4,4
3,4,4,4,4
4,4,4,4,4
4,4,4,4,4
3,4,4,3,4
2,4,4,4,4
3,3,3,2,3
4,4,4,4,4
4,4,4,4,4
4,4,3,4,3
4,4,4,4,4
4,4,4,4,4
3,4,3,3,3
4,4,4,4,4
4,4,4,4,4
4,4,4,3,2
4,4,4,4,4
