"The hospital has modern, up-to-date equipment","The hospital's physical facilities are clean and visually appealing (reception, waiting area, consultation rooms, toilets, wards)",The hospital's employees are well-dressed and have a neat and professional appearance,Materials associated with the service are visually appealing
5,5,5,5
4,4,4,4
5,5,5,4
4,4,5,4
3,3,3,3
3,4,5,4
4,5,5,5
5,5,5,5
5,5,5,5
4,5,4,5
5,5,5,5
5,5,5,5
3,5,4,3
3,5,3,4
4,5,4,4
5,5,4,4
4,5,4,5
4,5,4,4
4,5,3,4
3,4,4,4
5,5,4,5
5,5,5,3
5,5,5,5
4,4,4,4
